TMS_ID,title,release_year,genre,audience_score,critics_score,start_time,end_time,provider_name,OMDB_pop_score,tweets,combined_followers
MV009427890000,The Last of the Mohicans: Director's Definitive Cut,1992,"['Historical drama', 'Adventure', 'War', 'Romance']",88,93,2021-01-01T05:01:00+00:00,2021-02-16T04:59:59+00:00,EPIX_HD,,,
MV001397560000,,2003,"['Romance', 'Drama']",80,,2020-12-04T05:00:00+00:00,2021-06-04T03:59:59+00:00,BOLLYWOOD,11.055,,
MV001236670000,,1995,"['Romance', 'Musical']",76,,2021-01-15T05:00:00+00:00,2021-07-16T03:59:59+00:00,BOLLYWOOD,11.055,,
MV001246800000,,1991,"['Drama', 'Romance']",70,,2020-12-04T05:00:00+00:00,2021-08-06T03:59:59+00:00,BOLLYWOOD,11.055,,
MV000076910000,An American in Paris,1951,"['Musical', 'Romance']",79,96,2016-07-22T04:00:00+00:00,2030-01-01T04:59:00+00:00,IND_HD_EXP,8.844,100,311981
MV000075770000,The Great Lie,1941,['Romance'],71,60,2016-07-22T04:00:00+00:00,2030-01-01T04:59:59+00:00,IND_HD_EXP,3.154,100,1348094
MV012500970000,,2018,"['Biography', 'Drama', 'Romance']",87,,2021-01-05T05:00:00+00:00,2021-04-05T03:59:59+00:00,IND_HD,11.055,,
MV010348970000,A Harvest Wedding,2017,['Romance'],73,,2021-01-24T05:00:01+00:00,2021-04-01T03:59:59+00:00,HALLMARK_HD_PLUS,8.535,11,12157
MV003552150000,Edge of the Garden,2011,"['Drama', 'Romance']",77,,2020-10-01T04:00:01+00:00,2021-03-01T04:59:59+00:00,HALLMARK_HD_PLUS,3.91,100,1256217
MV004642230000,Lovestruck: The Musical,2013,"['Musical', 'Romance']",70,,2021-01-06T05:00:00+00:00,2022-01-10T04:59:00+00:00,FREEFORM_HD,12.837,100,1256217
MV001608080000,Pizza My Heart,2005,['Romance'],71,,2021-01-06T05:00:00+00:00,2022-01-10T04:59:00+00:00,FREEFORM_HD,1.878,100,146107
MV001043480000,Fire and Ice,2001,['Romance'],80,,2021-01-01T05:01:00+00:00,2021-04-01T03:59:59+00:00,BET_HD,17.347,100,318958
MV005560380000,Good Deeds,2012,"['Drama', 'Romance']",76,36,2020-07-27T04:01:00+00:00,2021-10-27T03:59:59+00:00,EPIX_HD,10.161,100,2181700
MV005752300000,Cinderella,2015,"['Children', 'Fantasy', 'Romance']",78,83,2020-11-23T05:00:00+00:00,2021-04-01T03:59:59+00:00,IND_HD_EXP,102.841,100,3053986
MV006663190000,The Longest Ride,2015,"['Drama', 'Romance']",71,31,2021-02-01T08:01:00+00:00,2021-05-01T06:59:00+00:00,FXM_HD,25.23,100,328445
MV008176860000,Southside With You,2016,"['Romance', 'Biography', 'Drama']",71,92,2021-02-01T05:00:00+00:00,2021-02-16T04:59:59+00:00,IND_HD_EXP,9.035,100,1132136
MV009302840000,Maudie,2016,"['Biography', 'Historical drama', 'Romance']",89,89,2020-09-18T04:00:00+00:00,2021-10-04T03:59:59+00:00,STARZ_HD_EXP_MPEG4,10.231,67,406403
MV010428930000,,2007,"['Romance', 'Drama']",81,,2020-07-12T04:00:00+00:00,2021-02-12T04:59:59+00:00,SHOWTIME_HD_EXP,11.055,,
MV010583090000,Valley Girl,2020,"['Musical', 'Romance']",83,58,2020-11-01T04:01:00+00:00,2022-06-08T03:59:59+00:00,EPIX_HD,165.656,100,367683
MV011951800000,Five Feet Apart,2019,"['Romance', 'Drama']",79,52,2020-02-24T05:00:00+00:00,2021-06-30T03:59:59+00:00,SHOWTIME_HD_EXP,86.542,100,145512
MV012662490000,Queen & Slim,2019,"['Crime drama', 'Romance']",92,83,2020-09-21T10:00:00+00:00,2021-04-01T09:59:00+00:00,HBO_HD_EXP,179.696,100,2902933
MV012815800000,The Photograph,2020,"['Romance', 'Drama']",81,74,2020-12-20T05:00:00+00:00,2021-02-28T04:59:59+00:00,HBO_HD,64.781,100,215410
MV001926180000,Becoming Jane,2007,"['Biography', 'Romance']",74,58,2020-04-01T10:00:00+00:00,2021-04-01T09:59:00+00:00,HBO_HD_EXP,14.545,100,517759
MV001941330000,Once,2006,"['Romance', 'Musical', 'Drama']",91,97,2020-10-01T10:00:00+00:00,2021-06-01T09:59:00+00:00,HBO_HD_EXP,284.025,100,158987
MV001999600000,The Curious Case of Benjamin Button,2008,"['Fantasy', 'Drama', 'Romance']",80,71,2017-06-26T04:00:00+00:00,2030-01-01T04:59:59+00:00,IND_HD_EXP,30.078,100,228418
